"director","gross"
"Betty Thomas",219.61
"Marina Willer",0.01
"Bill Condon",103.37
"Gregg Bishop",0
"Adam Wingard",0.02
"Ross Shuman",0.16
"Julie Davis",0.01
"Chris Sanders",145.79
"Geoff Murphy",44.14
"Mike Myers",0.21
"Uwe Boll",4.54
"Kirk DeMicco",187.17
"Zack Snyder",210.61
"Jovanka Vuckovic",0.03
"James Franco",0.04
"Anne Fontaine",6.11
"Roman Polanski",15.54
"Steve Brown",0.12
"Stephen Frears",37.71
"Alexandre Aja",30.69
"Edgar Wright",107.83
"Jon Schnepp",0.02
"John Hillcoat",12.63
"Gary Trousdale",218.97
"Pierre Morel",10.64
"Martin Koolhoven",0.54
"John Elliotte",1.6
"George Ratliff",0.48
"Ari Sandel",34.02
"Bill Roberts",1.6
"Peter Berg",61.43
"Lynn Shelton",0.04
"Eli Roth",34.02
"Masaaki Yuasa",0.04
"Bertrand Bonello",0.03
"Danfung Dennis",0.04
"Tom Six",0.18
"Noam Murro",106.58
"Patrick Hughes",75.47
"Jon M. Chu",42.4
"Hayao Miyazaki",15.09
"Fred Zinnemann",28.35
"Chad Hartigan",0.09
"Steve Carr",19.99
"Ross Katz",0.1
"Jim Sheridan",30.98
"Olivia Wilde",22.68
"Hayao Miyazaki",0.5
"Anne Fletcher",65.33
"George Clooney",5.78
"Hiromasa Yonebayashi",0.77
"Gorô Miyazaki",0.05
"Isao Takahata",1.51
"Amy Heckerling",56.63
"James Wan",353.01
"Richard Rich",11.96
"Roger Ross Williams",0.05
"Shane Meadows",0.33
"Jon Watts",390.53
"Wes Anderson",45.51
"Nisha Ganatra",15.5
"Andrew Traucki",0.02
"Isabel Coixet",1.33
"Cody Cameron",119.79
"Leslie Hope",4.56
"Greg 'Freddy' Camalier",0.7
"Mark Levinson",0.87
"Sergei Bodrov",5.7
"Jack Clayton",6.74
"David Mackenzie",26.86
"Harold Becker",32.94
"Beth Aala",0.21
"Hayao Miyazaki",5.21
"Ariel Vromen",1.94
"Woody Allen",33.41
"Justin Kelly",0.03
"Bill Condon",504.01
"Scott Speer",35.07
"Ben Stiller",110.52
"James Gray",2.01
"Louis Leterrier",117.72
"Adam Schlesinger",0.13
"Nicholas Jarecki",7.92
"Jason Eisener",0.02
"McG",54.76
"Srdjan Spasojevic",0.02
"Pierre Coffin",368.06
"Andrew Stanton",486.3
"Martin Scorsese",7
"Jim Gillespie",0.08
"Jaume Collet-Serra",63.69
"Orson Welles",2.24
"Stanley Kubrick",56.95
"M.D. Selig",0.14
"Bennett Miller",75.61
"Joe Carnahan",77.22
"Robert Luketic",47.06
"Boaz Yakin",17.14
"John Andreas Andersen",0.01
"Takashi Miike",0.15
"Tom Six",0.12
"Arthur Hiller",46.91
"Scott Cooper",11.33
"Mike Barker",13.75
"Jeremy Snead",0.02
"Steven Knight",8.55
"Gaspar Noé",0.8
"Samuel Armstrong",1.6
"Adrian Lyne",94.9
"Kelly Asbury",45.02
"Tyler Perry",43.55
"Ian Cheney",0.01
"Mark Robson",44.43
"Andrew Bujalski",0.1
"Tom Gianas",0.16
"Scott Derrickson",30.58
"Gore Verbinski",123.48
"Barry Jenkins",27.85
"Bong Joon Ho",4.56
"Gotham Chopra",0.01
"Roland Emmerich",73.1
"Timo Tjahjanto",0.02
"Ben Wheatley",0.02
"Kaare Andrews",0.02
"Peter Jackson",342.55
"Hiromasa Yonebayashi",19.2
"John Lee Hancock",12.79
"Luc Besson",126.66
"Jamie M. Dagg",0.01
"Ron Howard",25.02
"David Grovic",0.05
"Adam Wingard",18.47
"John Luessenhop",57.74
"Mike Nawrocki",25.58
"Stephanie Soechtig",1.54
"Jay Duplass",0.19
"Steven Spielberg",81.9
"Kirk Wise",218.97
"Dennis Gansel",21.22
"Antoine Fuqua",52.42
"Carlo Carlei",1.16
"Adrian Lyne",156.65
"David Lean",44.82
"Seth Gordon",58.06
"Steven Spielberg",260
"Espen Sandberg",1.52
"Blair Treu",5.88
"Denis Villeneuve",46.89
"Jeff Garlin",0.02
"Babak Anvari",0.03
"Stephen Daldry",31.85
"Tomas Alfredson",6.67
"Constance Marks",0.3
"Brad Anderson",5.02
"Robert Stone",0.07
"Michael Blieden",0
"Manny Rodriguez",2.83
"Eric Schaeffer",0.02
"Brad Peyton",101.03
"Olivier Megaton",36.67
"Alex Proyas",31.15
"Nick Tomnay",0.05
"Peter Landesman",0.77
"Linda Saffire",0.13
"Robert Rodriguez",39.18
"Joachim Rønning",172.56
"Gabrielle Demeestere",0.01
"Mikael Håfström",25.13
"Steven Spielberg",402.45
"Paul Verhoeven",4.4
"Robert Budreau",0.83
"Robert Rodriguez",112.72
"Chris Paine",0.15
"Yoshiyuki Momose",0.18
"Sofìa Carrillo",0.03
"Elizabeth Canner",0.05
"Ben Sharpsteen",1.6
"Luv Ranjan",0.22
"Will Speck",54.77
"Lynn Shelton",0.44
"John Landis",57.23
"Mark Osborne",1.34
"Leigh Janiak",0.01
"Le-Van Kiet",0.59
"Tarsem Singh",64.94
"Hayao Miyazaki",1.11
"Florian Henckel von Donnersmarck",67.63
"Peter Jackson",315.54
"Darren Aronofsky",17.8
"Kyle Balda",214.03
"Adam Robitel",57.01
"Eli Roth",0.04
"Anthony Russo",408.08
"Paul King",40.44
"Rohit Shetty",4.83
"Don Bluth",11.37
"Quentin Tarantino",66.21
"Charlie McDowell",0.51
"Andrew Niccol",24.15
"Greg Barker",0.19
"Lone Scherfig",0.23
"Amman Abbasi",0
"Cate Shortland",0.03
"Baltasar Kormákur",66.53
"Andy Muschietti",327.48
"Stephen Herek",136.19
