director_id,movie_id,person_id
504,4,3628
505,4,20567
506,471,-
507,472,17081
508,473,-
509,474,-
5,475,8714
511,476,17006
512,477,-
513,478,17796
514,479,11081
515,4,13238
516,481,11137
517,482,7655
518,483,-
519,484,125
5,485,-
521,486,-
522,487,10304
523,488,6652
524,489,-
525,4,-
526,491,14781
527,492,13458
528,493,-
529,494,-
5,495,-
531,496,-
532,497,2515
533,498,5282
534,499,17166
535,5,-
536,501,192
537,502,-
538,503,-
539,504,-
5,505,-
541,506,-
542,507,-
543,508,14042
544,509,8157
545,509,20925
546,5,-
547,991,-
548,511,5247
549,512,-
5,513,10493
551,514,19848
552,515,-
553,516,20711
554,517,15795
555,518,1111
556,519,14781
557,5,1219
558,521,1295
559,522,-
5,523,8476
561,524,15905
562,525,-
563,526,14678
564,526,3924
565,527,-
566,528,14716
567,529,-
568,5,-
569,531,-
5,532,11643
571,533,-
572,51,-
573,534,20373
574,535,-
575,536,-
576,537,-
577,538,16447
578,539,10472
579,5,18954
5,541,-
581,542,19544
582,543,14907
583,544,-
584,545,-
585,546,18194
586,547,-
587,548,15795
588,549,-
589,5,877
5,551,-
591,552,-
592,553,-
593,554,-
594,555,623
595,556,12965
596,557,-
597,558,-
598,559,2193
599,5,14941
6,561,-
601,562,11375
602,563,1866
603,564,7477
604,565,-
605,566,6469
606,567,15527
607,568,-
608,569,2685
609,5,7668
6,571,18892
611,572,18146
612,573,-
613,574,98
614,575,4267
615,576,-
616,3,1903
617,577,1903
618,3,19656
619,577,19656
6,578,13885
621,579,1583
622,579,11603
623,5,-
624,581,3991
625,582,7406
626,583,5526
627,584,5774
628,585,-
629,586,7832
6,587,-
631,588,17447
632,589,-
633,255,18903
634,5,18903
635,591,17702
636,592,-
637,593,-
638,594,-
639,595,-
6,596,8791
641,597,-
642,598,-
643,599,-
644,6,-
645,601,7788
646,602,13985
647,602,2241
648,603,-
649,604,12768
6,605,184
651,606,193
652,607,-
653,608,-
654,609,15124
655,6,5436
656,611,6392
657,612,-
658,4127,-
659,613,16779
6,614,-
661,615,-
662,616,11594
663,617,41
664,618,-
665,619,-
666,6,10304
667,621,-
668,26,-
669,622,18555
6,623,-
671,624,8477
672,625,18169
673,626,10613
674,627,19335
675,628,-
676,1858,-
677,629,-
678,6,2459
679,631,-
6,632,-
681,633,-
682,634,19335
683,635,10336
684,636,-
685,637,2856
686,638,-
687,639,5208
688,6,13458
689,641,6147
6,642,16874
691,643,12072
692,643,14934
693,644,-
694,645,-
695,646,7223
696,647,-
697,648,-
698,649,1355
699,6,18524
7,651,18132
701,652,6592
702,653,-
703,4247,-
704,654,-
705,655,-
706,6054,-
707,656,5706
708,657,1866
709,658,-
7,659,3704
711,6,15738
712,6,9404
713,661,-
714,662,13466
715,663,11635
716,663,5519
717,664,199
718,665,20613
719,666,9461
7,667,-
721,668,17973
722,669,-
723,6,-
724,671,-
725,672,10983
726,673,-
727,674,-
728,675,17665
729,676,-
7,677,-
731,678,12147
732,679,-
733,6,9043
734,681,-
735,682,19339
736,683,5722
737,5375,5722
738,684,-
739,685,6481
7,685,20925
