movie_id,genre_id
1,1
1,2
1,3
2,4
2,1
2,5
3,6
3,2
3,3
4,4
4,5
4,7
5,1
5,8
5,2
6,1
6,8
6,6
7,6
7,9
8,8
8,6
8,10
9,7
10,6
10,9
11,1
11,5
11,3
12,8
12,6
12,11
13,6
13,2
13,10
14,7
14,6
14,9
15,6
15,2
15,3
16,6
16,9
17,8
17,6
17,3
18,6
19,7
19,6
20,6
20,11
20,2
21,6
21,2
21,10
22,7
22,9
23,1
23,5
23,6
24,8
24,6
25,4
25,1
25,5
26,6
26,12
26,9
27,1
27,5
27,6
28,8
28,6
29,6
29,11
29,2
30,8
30,6
30,10
31,2
31,10
32,8
32,6
33,7
33,8
34,1
34,8
34,6
35,1
436,1
1362,1
35,6
436,6
1362,6
35,12
436,12
1362,12
36,7
36,6
36,9
37,1
37,5
37,8
38,1
38,5
38,11
39,6
39,9
40,4
40,1
40,5
41,7
41,6
42,1
42,8
42,10
43,7
44,6
44,11
44,9
45,1
45,6
45,12
46,6
46,13
46,3
47,8
47,6
47,3
48,14
48,6
48,12
49,1
49,5
49,6
50,1
50,8
50,2
51,8
51,6
51,3
52,7
52,9
53,7
54,8
54,6
54,3
55,8
55,3
56,6
56,11
56,2
57,6
57,9
58,7
58,8
58,6
59,7
59,8
59,6
60,6
60,10
60,3
61,6
62,1
62,5
62,6
63,1
63,5
63,10
64,1
64,7
65,7
65,9
66,8
66,6
66,2
67,6
67,10
67,13
68,6
69,8
69,6
69,10
70,6
70,10
70,13
71,7
72,1
72,8
72,6
73,7
73,6
74,6
74,2
74,10
75,7
75,6
75,9
76,6
76,9
77,1
77,5
77,6
78,1
78,7
78,8
79,6
80,8
80,6
80,3
81,7
81,6
82,1
82,5
82,8
83,1
83,8
83,6
84,4
84,1
84,5
85,6
85,15
86,1
86,5
86,13
87,4
87,7
88,1
88,8
88,6
89,8
89,6
89,10
90,4
90,1
90,5
91,1
91,7
91,6
35,1
436,1
1362,1
35,6
436,6
1362,6
35,12
436,12
1362,12
93,1
93,8
93,6
94,6
95,1
95,5
95,6
96,8
96,2
96,3
97,1
97,5
97,6
98,1
98,5
98,8
99,7
99,8
99,6
100,6
100,9
101,6
101,9
102,7
102,6
103,8
103,6
103,10
104,8
104,6
104,10
105,8
105,6
105,10
106,6
107,1
107,8
107,6
108,8
108,6
108,10
109,1
109,5
109,7
110,1
110,5
110,6
111,4
111,7
111,6
112,1
112,5
112,6
113,7
114,4
114,7
115,5
115,11
115,9
116,1
116,5
116,6
117,1
117,6
117,11
118,8
118,6
118,10
119,1
119,5
119,6
120,7
121,1
121,5
121,14
122,1
122,8
122,6
123,7
123,6
123,11
124,8
124,6
124,10
125,7
126,1
126,5
126,2
127,8
127,6
127,9
128,8
128,6
128,3
129,5
129,3
130,4
1420,4
130,1
1420,1
130,5
1420,5
131,1
131,8
131,6
132,1
132,5
132,13
133,8
133,6
133,3
134,14
134,8
134,6
135,8
135,6
135,3
136,4
136,1
136,5
137,8
137,6
137,10
138,7
138,6
139,8
139,6
139,10
140,16
1106,16
140,8
1106,8
140,10
1106,10
141,8
141,6
141,10
142,1
142,6
142,2
143,6
143,10
143,13
144,6
144,10
144,3
145,1
145,5
145,7
146,7
146,8
146,6
147,6
148,4
148,1
148,5
149,1
149,5
150,4
150,1
150,11
151,7
152,8
152,6
152,10
153,7
153,6
153,11
154,8
154,6
154,10
155,7
155,6
155,17
156,7
156,6
156,17
157,1
157,8
157,6
158,1
158,8
158,18
159,4
159,1
159,5
160,1
160,6
161,6
161,9
162,2
163,6
163,10
163,9
164,1
164,5
164,13
165,4
165,1
165,7
166,1
166,5
166,13
167,8
167,6
167,10
168,4
168,5
168,7
169,7
169,6
170,4
170,19
170,7
171,3
172,5
172,11
173,7
173,9
174,8
174,6
175,4
175,1
175,5
176,1
176,7
176,8
177,4
177,1
177,5
178,1
310,1
178,6
310,6
178,13
310,13
179,7
180,8
180,6
180,3
181,8
181,6
181,10
182,1
182,5
182,3
183,1
183,7
183,8
184,7
184,9
185,1
185,5
185,8
186,20
186,21
186,9
187,8
187,6
187,10
188,8
188,6
188,2
189,1
189,8
189,6
190,1
190,8
190,6
191,8
191,6
191,3
192,14
192,8
192,6
193,4
193,1
193,5
194,1
194,5
194,6
195,1
195,8
195,6
196,6
197,1
197,5
197,13
198,1
198,5
198,7
199,7
199,8
199,3
200,1
200,5
200,7
201,1
201,5
201,6
202,6
202,2
202,10
203,6
203,2
203,10
204,1
204,8
204,6
205,6
205,13
206,8
206,6
207,22
207,9
208,8
208,6
208,10
209,16
210,1
210,6
210,11
211,14
211,6
211,12
212,7
212,6
213,1
213,5
213,6
214,1
214,6
214,10
215,4
215,5
215,7
216,7
216,8
216,6
217,14
217,6
217,12
218,7
218,8
218,6
219,8
219,6
220,1
220,5
220,11
221,1
221,5
221,13
222,8
222,6
222,10
223,7
224,6
225,1
225,3
226,1
226,5
226,8
227,1
227,5
227,13
228,1
228,5
228,6
229,4
229,8
229,6
230,4
230,1
230,5
231,5
231,6
232,10
232,3
233,1
233,6
233,13
234,8
234,6
234,11
235,8
235,6
235,10
236,21
1452,21
236,9
1452,9
237,1
237,7
237,8
238,4
238,5
238,15
239,4
239,5
239,7
240,8
240,6
240,10
241,4
241,5
241,7
242,4
242,1
242,2
243,6
243,11
244,8
244,6
244,10
245,1
245,8
245,6
246,1
246,5
246,11
247,8
247,6
247,10
248,4
1157,4
248,1
1157,1
248,5
1157,5
249,1
249,6
249,13
250,1
250,5
250,6
251,4
251,1
251,5
252,8
252,6
252,3
253,14
253,8
253,6
254,6
254,3
255,6
590,6
255,10
590,10
255,3
590,3
256,1
256,5
256,6
257,1
257,7
257,6
258,1
258,8
258,6
259,7
260,7
261,1
261,5
261,6
262,21
262,9
263,7
263,9
264,1
264,8
264,6
265,8
265,6
265,3
266,7
266,8
266,6
267,7
267,6
268,1
268,7
268,8
269,4
269,1
269,5
270,7
270,9
271,21
272,1
272,5
272,11
273,6
273,10
273,13
274,16
274,14
274,12
275,7
275,8
275,6
276,8
276,6
277,5
277,13
278,4
278,1
278,5
279,4
279,1
279,5
280,21
281,8
281,6
281,2
282,6
282,15
283,6
283,12
283,9
284,1
284,5
284,13
285,6
286,4
286,6
286,9
287,1
287,5
287,6
288,6
288,2
288,10
289,7
289,6
289,9
290,7
291,6
292,1
292,8
292,6
293,5
293,7
293,8
294,7
294,11
294,9
295,5
295,6
295,15
296,8
296,6
297,7
297,6
298,7
299,1
299,8
299,3
300,6
300,2
300,10
301,14
301,6
301,18
302,6
302,10
302,3
303,6
303,13
303,3
304,1
304,3
305,7
306,7
306,6
307,4
307,8
307,6
308,7
308,15
308,13
309,4
309,7
309,9
178,1
310,1
178,6
310,6
178,13
310,13
311,6
311,11
311,2
312,1
312,6
313,4
313,6
313,11
314,6
314,10
314,13
315,1
315,6
315,13
316,7
317,5
317,6
317,15
318,6
318,15
319,6
319,11
319,13
320,5
320,2
320,3
321,1
321,5
321,8
322,1
322,5
322,6
323,6
323,11
323,2
324,8
324,6
324,10
325,1
325,7
325,23
326,7
326,6
327,7
327,8
327,6
328,4
328,5
328,15
329,6
329,12
329,9
330,15
577,15
330,11
577,11
330,22
577,22
331,6
331,11
331,2
332,8
332,6
333,1
333,5
333,6
334,7
334,6
334,9
335,8
2492,8
335,6
2492,6
335,3
2492,3
336,4
336,1
336,5
337,2
337,13
338,4
338,1
338,5
339,1
339,8
339,6
340,7
341,1
341,8
341,6
342,7
342,2
343,7
343,6
343,9
344,8
344,6
344,10
345,5
345,6
345,2
346,10
346,3
347,1
347,8
347,6
348,6
348,24
349,4
349,7
349,6
350,8
350,6
350,10
351,1
351,5
351,6
352,4
352,5
352,7
353,6
353,2
353,10
354,1
354,5
354,7
355,7
355,6
355,9
356,1
356,7
356,8
357,4
357,5
357,7
358,6
358,12
358,3
359,1
359,6
359,11
360,7
360,6
360,24
361,1
361,6
362,6
362,10
362,13
363,6
363,12
363,3
364,1
364,5
364,7
365,6
365,13
365,3
366,1
366,7
366,8
367,8
367,6
367,3
368,7
368,6
368,9
369,6
369,3
370,6
370,17
370,9
371,8
371,6
372,2
372,13
372,3
373,7
373,8
373,6
374,14
374,6
375,6
375,11
375,2
376,7
376,6
376,11
377,14
377,6
377,12
378,6
378,3
379,15
379,11
379,22
380,1
380,5
380,11
381,7
381,6
381,9
382,1
382,8
382,3
383,6
383,9
383,24
384,7
384,6
385,8
385,6
385,10
386,7
386,9
387,7
387,8
388,7
388,8
388,9
389,7
389,6
389,15
390,6
390,11
390,10
391,1
391,13
391,3
392,7
392,9
393,1
393,8
393,6
394,7
394,6
394,18
395,7
396,1
396,5
396,11
397,14
397,8
397,6
398,8
398,6
398,12
399,6
399,15
399,9
400,5
400,7
400,6
401,7
401,6
402,20
402,21
403,16
403,8
403,12
404,6
404,3
405,6
406,4
406,5
406,15
407,8
407,6
407,10
408,8
408,10
408,3
409,20
409,21
410,7
410,6
410,22
411,1
411,5
411,13
412,7
412,6
413,5
413,6
413,12
414,21
415,7
415,8
415,6
416,5
416,7
416,21
417,1
417,8
417,3
418,6
418,9
419,1
419,13
419,3
420,15
420,11
420,10
421,8
421,6
421,3
422,4
422,5
422,7
423,14
423,7
424,7
424,17
425,5
425,7
425,6
426,5
426,7
426,9
427,1
427,8
427,6
428,7
428,6
428,13
429,6
430,1
430,5
430,14
431,7
431,2
432,4
432,1
432,5
433,1
433,5
433,6
434,6
434,9
435,14
435,8
435,6
35,6
436,6
1362,6
437,7
438,6
438,10
438,9
439,7
439,6
440,8
2061,8
440,6
2061,6
440,10
2061,10
441,6
441,10
441,13
442,7
442,9
443,8
443,6
443,3
444,6
444,2
444,17
445,4
445,5
445,7
446,1
446,5
446,11
447,14
447,7
447,6
448,4
448,1
448,5
449,8
449,6
449,10
450,8
450,6
450,3
451,14
451,7
451,6
452,21
453,6
453,2
453,3
454,1
454,14
454,6
455,5
455,6
455,10
456,7
456,22
457,4
457,5
457,6
458,7
458,9
459,4
459,1
459,7
460,7
460,15
461,1
461,5
461,7
462,6
462,11
462,13
463,1
463,2
463,13
464,6
2317,6
464,2
2317,2
465,21
466,4
466,1
466,5
467,1
467,11
467,3
468,6
468,15
468,11
469,1
469,5
469,6
470,6
470,10
470,13
471,1
471,8
471,11
472,1
472,5
472,11
473,4
473,1
473,6
474,1
474,11
474,10
475,5
475,13
476,8
476,6
476,3
477,1
477,7
477,2
478,6
479,7
479,15
480,2
480,10
480,3
481,1
481,8
481,6
482,6
482,11
482,13
483,4
483,7
483,6
484,1
484,7
484,8
485,4
485,1
485,5
486,5
486,6
486,11
487,1
487,14
487,6
488,14
488,8
488,6
489,1
489,7
489,15
490,6
490,10
490,13
491,14
491,6
492,4
492,1
492,5
493,7
494,1
494,5
494,6
495,7
495,6
495,9
496,6
496,12
497,1
497,8
497,6
498,1
498,5
498,8
499,7
500,6
500,11
500,2
501,5
501,7
501,8
502,1
502,6
502,11
503,8
503,6
503,11
504,6
504,15
505,7
505,8
505,6
506,5
506,6
506,12
507,8
507,6
508,1
508,5
508,13
509,4
509,5
509,7
510,8
991,8
510,6
991,6
510,10
991,10
511,6
511,10
511,3
512,1
512,6
512,3
513,8
513,6
513,10
514,5
514,6
514,15
515,16
515,14
515,12
516,1
516,8
516,6
517,1
517,7
517,6
518,1
518,5
518,7
519,14
519,8
519,6
520,1
520,10
520,3
521,19
521,15
522,8
522,6
522,12
523,5
523,7
523,6
524,6
524,2
524,3
525,4
525,1
525,6
526,5
526,7
526,11
527,6
528,1
528,8
528,11
529,6
529,10
529,13
530,5
530,6
530,10
531,1
531,5
531,7
532,14
532,6
532,12
533,4
5170,4
533,1
5170,1
533,5
5170,5
534,6
534,2
534,3
535,1
535,5
535,11
536,7
536,21
537,7
538,6
538,24
539,1
539,3
540,4
540,5
540,7
541,1
541,5
541,8
542,6
542,10
542,9
543,2
543,3
544,6
544,11
544,2
545,7
545,2
546,6
547,7
547,6
547,3
548,1
548,5
548,7
549,4
549,1
549,7
550,1
550,6
550,3
551,6
551,11
551,2
552,1
552,5
552,15
553,21
554,7
554,6
555,7
555,6
555,9
556,2
557,16
558,14
558,6
559,4
559,5
559,7
560,1
560,8
560,6
561,4
561,1
561,5
562,7
562,9
563,1
563,5
563,3
564,8
564,10
564,13
565,4
565,1
565,5
566,1
566,5
566,11
567,6
567,9
568,8
568,6
568,11
569,1
569,7
569,9
570,1
570,7
570,8
571,5
571,14
571,6
572,7
572,13
573,14
573,6
573,12
574,1
574,6
574,3
575,6
575,9
575,23
576,4
576,7
576,6
330,4
577,4
330,15
577,15
330,11
577,11
578,4
578,5
578,7
579,4
579,5
579,7
580,5
580,11
580,13
581,7
581,9
582,8
582,2
582,10
583,14
583,8
583,6
584,6
584,15
584,18
585,7
585,6
585,11
586,14
586,6
587,4
587,1
587,8
588,1
588,5
588,13
589,7
255,1
590,1
255,2
590,2
255,3
590,3
591,1
591,5
591,13
592,8
592,6
593,1
593,5
593,6
594,4
594,1
594,5
595,6
595,3
